Reference,DOI,Location,Species,Level,Turnover,Source,Notes
John 1971,10.1007/bf00348025,"Ria de Aldan, Spain",Saccorhiza polyschides,Forest,1.00375,Table 3,calculated as P / B
John 1971,10.1007/bf00348025,"Ria de Aldan, Spain",Laminaria ochroleuca,Forest,0.895909091,Table 3,calculated as P / B
John 1971,10.1007/bf00348025,"Ria de Aldan, Spain",Saccorhiza polyschides,Forest,0.9125,Table 3,calculated as P / B
John 1971,10.1007/bf00348025,"Ria de Aldan, Spain",Laminaria ochroleuca,Forest,0.811111111,Table 3,calculated as P / B
John 1971,10.1007/bf00348025,"Ria de Aldan, Spain",Laminaria ochroleuca,Forest,1.216666667,Table 3,calculated as P / B
"Mann 1972, 1973","10.1007/bf00348280, 10.1126/science.182.4116.975","Strawberry Island, St Margaret's Bay, Nova Scotia, Canada",Saccharina latissima,Lamina,10.66,Table 2,
"Mann 1972, 1973","10.1007/bf00348280, 10.1126/science.182.4116.975","Fox Point, St Margaret's Bay, Nova Scotia, Canada",Saccharina latissima,Lamina,6.14,Table 2,
"Mann 1972, 1973","10.1007/bf00348280, 10.1126/science.182.4116.975","Fox Point, St Margaret's Bay, Nova Scotia, Canada",Saccharina latissima,Lamina,3.82,Table 2,
"Mann 1972, 1973","10.1007/bf00348280, 10.1126/science.182.4116.975","Fox Point, St Margaret's Bay, Nova Scotia, Canada",Laminaria digitata,Lamina,20.44,Table 2,
"Mann 1972, 1973","10.1007/bf00348280, 10.1126/science.182.4116.975","Fox Point, St Margaret's Bay, Nova Scotia, Canada",Laminaria digitata,Lamina,5.5,Table 2,
"Mann 1972, 1973","10.1007/bf00348280, 10.1126/science.182.4116.975","Fox Point, St Margaret's Bay, Nova Scotia, Canada",Agarum clathratum,Lamina,4.09,Table 2,
"Mann 1972, 1973","10.1007/bf00348280, 10.1126/science.182.4116.975","Luke Island, St Margaret's Bay, Nova Scotia, Canada",Saccharina latissima,Lamina,14.09,Table 2,
"Mann 1972, 1973","10.1007/bf00348280, 10.1126/science.182.4116.975","Luke Island, St Margaret's Bay, Nova Scotia, Canada",Saccharina latissima,Lamina,13.24,Table 2,
"Mann 1972, 1973","10.1007/bf00348280, 10.1126/science.182.4116.975","Fox Point, St Margaret's Bay, Nova Scotia, Canada",Saccharina latissima,Lamina,8.99,Table 2,
"Mann 1972, 1973","10.1007/bf00348280, 10.1126/science.182.4116.975","Fox Point, St Margaret's Bay, Nova Scotia, Canada",Saccharina latissima,Lamina,7.76,Table 2,
"Mann 1972, 1973","10.1007/bf00348280, 10.1126/science.182.4116.975","Fox Point, St Margaret's Bay, Nova Scotia, Canada",Saccharina latissima,Lamina,7.54,Table 2,
"Mann 1972, 1973","10.1007/bf00348280, 10.1126/science.182.4116.975","Fox Point, St Margaret's Bay, Nova Scotia, Canada",Laminaria digitata,Lamina,8.39,Table 2,
"Mann 1972, 1973","10.1007/bf00348280, 10.1126/science.182.4116.975","Fox Point, St Margaret's Bay, Nova Scotia, Canada",Laminaria digitata,Lamina,12.48,Table 2,
"Mann 1972, 1973","10.1007/bf00348280, 10.1126/science.182.4116.975","Fox Point, St Margaret's Bay, Nova Scotia, Canada",Laminaria digitata,Lamina,9.6,Table 2,
"Mann 1972, 1973","10.1007/bf00348280, 10.1126/science.182.4116.975","Fox Point, St Margaret's Bay, Nova Scotia, Canada",Agarum clathratum,Lamina,3.18,Table 2,
Drew 1974,10.1016/0022-0981(74)90059-8,"Strait of Messina, Sicily, Italy",Laminaria ochroleuca,Thallus,0.672268908,Table 8,calculated as 80 g organic dry mass m^−2 y^−1 (P) / 119 g organic dry mass m^−2 (B)
Jupp & Drew 1974,10.1016/0022-0981(74)90044-6,"Arisaig, Invernesshire, Scotland",Laminaria hyperborea,Forest,0.627058824,"Table 1, 6",calculated as 2.132 kg dry mass m^−2 y^−1 (P) / 3.4 kg dry mass m^−2 (B)
Jupp & Drew 1974,10.1016/0022-0981(74)90044-6,"Arisaig, Invernesshire, Scotland",Laminaria hyperborea,Forest,0.790833333,"Table 1, 6",calculated as 0.949 kg dry mass m^−2 y^−1 (P) / 1.2 kg dry mass m^−2 (B)
Gerard 1976,escholarship.org/uc/item/028959vr,"Point Cabrillo, Pacific Grove, Monterey Bay, California, USA",Macrocystis pyrifera,Forest,6.571428571,Text,calculated as 23 kg m^−2 y^−1 (P) / 3.5 kg m^−2 (B)
Field et al. 1977,hdl.handle.net/10520/AJA00382353_3875,"Oudekraal, Cape Town, South Africa",Laminaria pallida,Forest,3.099862101,Text,calculated as 53950 kJ m^−2 y^−1 (P) / 17404 kJ m^−2 (B)
Hatcher et al. 1977,10.1007/bf00386909,"Fox Point, St Margaret's Bay, Nova Scotia, Canada",Saccharina latissima,Lamina,3.96212673,"Table 2, 6","calculated as 6.8 mg C cm^−2 y^−1 / ( mean of May and October weighted mean µg C cm^−2 / 1000 µg mg^−1 ), assuming minimum and maximum carbon content in May and October"
Hay 1977,10.26021/7263,"Tautuku Peninsula, Otago, New Zealand",Durvillaea antarctica,Forest,2.268394044,"Figure 8.3, 9.11",calculated as increase in biomass over one year from June to July / annual mean biomass
Johnston et al. 1977,10.1007/bf02207859,"Loch Creran, Oban, Scotland",Saccharina latissima,Lamina,3.247016671,"Table 2, Figure 7, Text",calculated as 67.714 g C frond^−1 y^−1 (P) / ( annual mean of sums across frond sections (63.97 dry mass frond^−1) * 0.326 g C g^−1 dry mass )
Kain 1977,10.1017/S0025315400025054,"Isle of Man and Scotland, United Kingdom",Laminaria hyperborea,Forest,1.523178808,Text,"calculated as dry P to fresh B ratio (0.23, slope of regression in Figure 4) / mean dry-fresh mass ratio for the whole thallus (0.151)"
Dieckmann 1978,hdl.handle.net/11427/17787,"Oudekraal, Cape Town, South Africa",Laminaria pallida,Lamina,4.12,Table 4.4,
Dieckmann 1978,hdl.handle.net/11427/17787,"Oudekraal, Cape Town, South Africa",Laminaria pallida,Lamina,4.15,Table 4.4,
Dieckmann 1978,hdl.handle.net/11427/17787,"Oudekraal, Cape Town, South Africa",Laminaria pallida,Lamina,3.95,Table 4.4,
Dieckmann 1978,hdl.handle.net/11427/17787,"Oudekraal, Cape Town, South Africa",Laminaria pallida,Lamina,4.56,Table 4.4,
Dieckmann 1978,hdl.handle.net/11427/17787,"Oudekraal, Cape Town, South Africa",Laminaria pallida,Lamina,5.2,Table 4.4,
Dieckmann 1978,hdl.handle.net/11427/17787,"Oudekraal, Cape Town, South Africa",Laminaria pallida,Lamina,5.03,Table 4.4,
Dieckmann 1978,hdl.handle.net/11427/17787,"Oudekraal, Cape Town, South Africa",Laminaria pallida,Lamina,4.94,Table 4.4,
Dieckmann 1978,hdl.handle.net/11427/17787,"Oudekraal, Cape Town, South Africa",Laminaria pallida,Lamina,5.67,Table 4.4,
Dieckmann 1978,hdl.handle.net/11427/17787,"Oudekraal, Cape Town, South Africa",Laminaria pallida,Lamina,3.74,Table 4.5,
Dieckmann 1978,hdl.handle.net/11427/17787,"Oudekraal, Cape Town, South Africa",Laminaria pallida,Lamina,3.82,Table 4.5,
Dieckmann 1978,hdl.handle.net/11427/17787,"Oudekraal, Cape Town, South Africa",Laminaria pallida,Lamina,3.91,Table 4.5,
Dieckmann 1978,hdl.handle.net/11427/17787,"Oudekraal, Cape Town, South Africa",Laminaria pallida,Lamina,3.07,Table 4.5,
Dieckmann 1978,hdl.handle.net/11427/17787,"Oudekraal, Cape Town, South Africa",Laminaria pallida,Lamina,2.94,Table 4.5,
Dieckmann 1978,hdl.handle.net/11427/17787,"Oudekraal, Cape Town, South Africa",Laminaria pallida,Lamina,3.17,Table 4.5,
Dieckmann 1978,hdl.handle.net/11427/17787,"Oudekraal, Cape Town, South Africa",Laminaria pallida,Lamina,3.78,Table 4.5,
Sheppard et al. 1978,10.1515/botm.1978.21.2.109,"Sark, Guernsey, Channel Islands",Laminaria hyperborea,Forest,0.638297872,"Text, Table 2",calculated as 15 t ha^−1 y^−1 * 1000 kg t^−1 / 10000 m^2 ha^−1 (P) / 2.35 kg m^−2 (B)
Gerard & Mann 1979,10.1111/j.1529-8817.1979.tb02958.x,"Callahan Island, Shag Bay, Nova Scotia, Canada",Saccharina latissima,Forest,2.7,Text,
Gerard & Mann 1979,10.1111/j.1529-8817.1979.tb02958.x,"Black Rock, Shag Bay, Nova Scotia, Canada",Saccharina latissima,Forest,1.6,Text,
Lees et al. 1980,osti.gov/biblio/6158236,"Jakolof Bay, Alaska, USA",Agarum clathratum,Forest,2.05,Text,
Lees et al. 1980,osti.gov/biblio/6158236,"Jakolof Bay, Alaska, USA",Agarum clathratum,Forest,2.48,Text,
Lees et al. 1980,osti.gov/biblio/6158236,"Jakolof Bay, Alaska, USA",Saccharina latissima,Forest,3.21,Text,
Lees et al. 1980,osti.gov/biblio/6158236,"Jakolof Bay, Alaska, USA",Saccharina latissima,Forest,3.27,Text,
Lees et al. 1980,osti.gov/biblio/6158236,"Jakolof Bay, Alaska, USA",Saccharina latissima,Forest,3.2,Text,
Lees et al. 1980,osti.gov/biblio/6158236,"Jakolof Bay, Alaska, USA",Saccharina latissima,Forest,3.82,Text,
Lees et al. 1980,osti.gov/biblio/6158236,"Jakolof Bay, Alaska, USA",Nereocystis luetkeana,Forest,3,Text,
Lees et al. 1980,osti.gov/biblio/6158236,"Jakolof Bay, Alaska, USA",Pleurophycus gardneri,Forest,3,Text,
Newell et al. 1980,10.3354/meps002045,"Western Cape Peninsula, South Africa",Ecklonia maxima,Forest,4.1,Table 10,
Newell et al. 1980,10.3354/meps002045,"Western Cape Peninsula, South Africa",Ecklonia maxima,Forest,3.8,Table 10,
Chapman & Lindley 1981,10.1515/9783110865271-025,"Turton Bay, Igloolik Island, Nunavut, Canada",Laminaria solidungula,Thallus,0.72,Text,
Chapman & Lindley 1981,10.1515/9783110865271-025,"Turton Bay, Igloolik Island, Nunavut, Canada",Laminaria solidungula,Forest,0.658045433,"Table 1, Text",calculated as 19.6 g C m^−2 y^−1 (P) / ( 867.26 g fresh mass m^−2 * 0.108 g dry mass g^−1 fresh mass * 0.318 g C g^−1 dry mass ) (B)
Feranández & Niell 1981,revistes.ub.edu/index.php/oecologiaaquatica/article/view/26920,"Asturias, Spain",Saccorhiza polyschides,Forest,11.59241042,Table 5,"taking the mean of P/B monthly means yielded 31.48, or annual P/B of 378, so instead P/B was calculated as mean of production monthly means * 12 / mean of initial biomass monthly means"
Lapointe et al. 1981,10.3354/meps005243,"Ria de Arosa, Galicia, Spain",Saccorhiza polyschides,Forest,11.70202735,"Table 1, 2",calculated as 10.2 g C m^−2 d^−1 * 365 d y^−1 (P) / mean maximum g C m^−2 (B)
Dunton et al. 1982,10.14430/arctic2355,"Stefansson Sound, Beaufort Sea, Alaska, USA",Laminaria solidungula,Lamina,0.95,Text,
Brady-Campbell et al. 1984,10.3354/meps018079,"Coaster's Harbour Island, Narragansett Bay, Rhode Island, USA",Saccharina latissima,Forest,5.2,Table 1,
Brady-Campbell et al. 1984,10.3354/meps018079,"Fort Wetherill, Narragansett Bay, Rhode Island, USA",Saccharina latissima,Forest,4.5,Table 1,
Brady-Campbell et al. 1984,10.3354/meps018079,"Land's End, Rhode Island Sound, Rhode Island, USA",Saccharina latissima,Forest,3.6,Table 1,
Dunton 1984,10.1016/b978-0-12-079030-2.50021-6,"Stefansson Sound, Beaufort Sea, Alaska, USA",Laminaria solidungula,Lamina,1.44,"Table 1, Text",clean ice cover
Dunton 1984,10.1016/b978-0-12-079030-2.50021-6,"Stefansson Sound, Beaufort Sea, Alaska, USA",Laminaria solidungula,Lamina,0.91,Table 1,turbid ice cover
Foreman 1984,10.1007/bf00027696,"Malcolm Island, British Columbia, Canada",Nereocystis luetkeana,Forest,2.076817486,Figure 1,"calculated as annual maximum biomass / annual mean biomass, based on Foreman's assumption that all biomass was produced that year since this is an annual species"
Gerard & North 1984,10.1007/bf00027695,"Big Fisherman Cove, Santa Catalina Island, California, USA",Macrocystis pyrifera,Forest,5.024117647,Table 1,calculated as annual mean g m^−2 d^−1* 365 d y^−1 / 1000 g kg^−1 (P) / annual mean kg m^−2 (B)
Kirkman 1984,10.1016/0022-0981(84)90060-1,"Marmion Reef, Perth, Western Australia, Australia",Ecklonia radiata,Forest,1.725,Text,calculated as 20.7 kg m^−2 y^−1 (P) / ( (6 + 18) / 2 ) kg m^−2 (B)
Novaczek 1984,10.1007/bf00393117,"Goat Island Bay, New Zealand",Ecklonia radiata,Lamina,1.217920835,"Table 2, 4, Text",calculated as mean frond dry mass production within size class 4 / ( annual mean frond fresh mass for size class 4 * mean of autumn maximum and spring minimum dry-fresh mass ratios for fronds of size class 4 )
Novaczek 1984,10.1007/bf00393117,"Goat Island Bay, New Zealand",Ecklonia radiata,Lamina,1.398601399,"Table 2, 4, Text",calculated as mean frond dry mass production within size class 4 / ( annual mean frond fresh mass for size class 4 * mean of autumn maximum and spring minimum dry-fresh mass ratios for fronds of size class 4 )
Haxen & Grindley 1985,10.1007/978-3-642-82275-9_87,"Marion Island, Prince Edward Islands, South Africa",Durvillaea antarctica,Forest,1.369064237,"Table 1, Text",calculated as 90.1 kg fresh mass m^−2 y^−1 * 1.1575 (P) / mean kg fresh mass m^−2 across sites (B)
Dunton & Schell 1986,10.3354/meps031057,"Stefansson Sound, Beaufort Sea, Alaska, USA",Laminaria solidungula,Thallus,1.3,Table 4,
Dunton & Schell 1986,10.3354/meps031057,"Stefansson Sound, Beaufort Sea, Alaska, USA",Laminaria solidungula,Thallus,0.8,Table 4,
Larkum 1986,10.1016/0022-0981(86)90241-8,"Fairlight Bay, Port Jackson, Sydney, New South Wales, Australia",Ecklonia radiata,Forest,1.52658733,"Table 1, Text",calculated as 3.1 kg dry mass m^−2 y^−1 (P) / annual mean kg dry mass plant^−1 * 22.5 plants m^−2 (B)
Larkum 1986,10.1016/0022-0981(86)90241-8,"Fairlight Bay, Port Jackson, Sydney, New South Wales, Australia",Ecklonia radiata,Lamina,2.120087588,Table 1,calculated as mean g dry mass plant^−1 d^−1 * 365 d y^−1 (P) / annual mean g dry mass lamina^−1 (B)
Smith 1986,10.3354/meps033007,"Ram Island, Lobster Bay, Nova Scotia, Canada",Saccharina latissima,Thallus,4.5625,Table 3,"undisturbed, calculated as the relative growth rate (d^−1) * 365 d y^−1"
Smith 1986,10.3354/meps033007,"Ram Island, Lobster Bay, Nova Scotia, Canada",Saccharina latissima,Thallus,0.8687,Table 3,"harvested, calculated as the relative growth rate (d^−1) * 365 d y^−1"
Smith 1986,10.3354/meps033007,"Ram Island, Lobster Bay, Nova Scotia, Canada",Laminaria digitata,Thallus,1.387,Table 3,"undisturbed, calculated as the relative growth rate (d^−1) * 365 d y^−1"
Smith 1986,10.3354/meps033007,"Ram Island, Lobster Bay, Nova Scotia, Canada",Laminaria digitata,Thallus,5.9568,Table 3,"harvested, calculated as the relative growth rate (d^−1) * 365 d y^−1"
Wheeler & Druehl 1986,10.1007/bf00569125,"Grappler Inlet, Barkley Sound, Vancouver Island, British Columbia, Canada",Macrocystis pyrifera,Thallus,6.765627828,Figure 1,"calculated as mean maximum relative growth rate (d^−1) * 365 d y^−1, note that the most negative rate in the set was subtracted from all rates to ensure non-negativity before calculating the mean"
Wheeler & Druehl 1986,10.1007/bf00569125,"Helby Island, Barkley Sound, Vancouver Island, British Columbia, Canada",Macrocystis pyrifera,Thallus,9.744628792,Figure 2,"calculated as mean maximum relative growth rate (d^−1) * 365 d y^−1, note that the most negative rate in the set was subtracted from all rates to ensure non-negativity before calculating the mean"
Jackson 1987,10.1007/bf00393105,"La Jolla, San Diego, California, USA",Macrocystis pyrifera,Forest,13.31366387,Text,calculated as 1567 g C m^−2 y^−1 (P) / ( 537 g C m^−2 y^−1 / ( (0.003 + 0.022) / 2 d^−1 * 365 d y^−1 ) ) (B)
Leigh et al. 1987,10.1073/pnas.84.5.1314,"Tatoosh Island, Washington, USA ",Postelsia palmiformis,Forest,1.978494624,Table 3,calculated as mean P / mean B
Leigh et al. 1987,10.1073/pnas.84.5.1314,"Tatoosh Island, Washington, USA ",Hedophyllum sessile,Forest,1,Table 3,calculated as mean P / mean B
Leigh et al. 1987,10.1073/pnas.84.5.1314,"Tatoosh Island, Washington, USA ",Lessoniopsis litoralis,Forest,1.802325581,Table 3,calculated as mean P / mean B
Leigh et al. 1987,10.1073/pnas.84.5.1314,"Tatoosh Island, Washington, USA ",Laminaria setchellii,Forest,0.485148515,Table 3,calculated as mean P / mean B
Yokohama et al. 1987,10.1007/bf02488318,"Nabeta Bay, Izu Peninsula, Japan",Ecklonia cava,Forest,1.756068022,"Table 1, Text",calculated as 2.9 kg dry mass m^−2 y^−1 (P) / annual mean kg dry mass m^−2 (B)
Smith 1988,10.1139/f88-066,"Lobster Bay, Nova Scotia, Canada",Saccharina latissima,Forest,3.4,Table 2,P:B reported as P:S
Smith 1988,10.1139/f88-066,"Lobster Bay, Nova Scotia, Canada",Laminaria digitata,Forest,1.3,Table 2,P:B reported as P:S
Kirkman 1989,10.1071/mf9890169,"Marmion Reef, Perth, Western Australia, Australia",Ecklonia radiata,Lamina,2.223082582,Figure 2,calculated mean of monthly means for relative growth rate (mg g^−1 d^−1) / 1000 mg g^−1 * 365 d y^−1
Kirkman 1989,10.1071/mf9890169,"Marmion Reef, Perth, Western Australia, Australia",Ecklonia radiata,Lamina,1.71814708,Figure 2,calculated mean of monthly means for relative growth rate (mg g^−1 d^−1) / 1000 mg g^−1 * 365 d y^−1
Egan & Yarish 1990,10.3354/meps067263,"Black Ledge, Long Island Sound, USA",Saccharina latissima,Forest,1.176908632,"Text, Figure 7",calculated as 10.6 kg fresh mass m^−2 y^−1 (P) / annual mean kg fresh mass m^−2 for 1985–1986 (B)
Egan & Yarish 1990,10.3354/meps067263,"Black Ledge, Long Island Sound, USA",Saccharina latissima,Thallus,2.921119833,Figure 3,calculated mean of 1985–1986 monthly means for relative growth rate (mg g^−1 d^−1) / 1000 mg g^−1 * 365 d y^−1
Attwood et al. 1991,10.1007/bf00234275,"Prince Edward Islands, South Africa",Macrocystis laevis,Forest,5.229850746,"Table 2, Text","annual production calculated as mean of April and August, so assumes these to be annual minimum and maximum"
Gunnarson 1991,researchgate.net/publication/341179594_Populations_de_Laminaria_hyperborea_er_Laminaria_digitata_Pheophycees_dans_la_baie_de_Breidifjordur_Islande_Repartition_biomass_et_densite_distribution_d'age_croissance_et_production,"Langey, Breiðafjörður, Iceland",Laminaria hyperborea,Forest,0.619438015,Figure 69a,
Gunnarson 1991,researchgate.net/publication/341179594_Populations_de_Laminaria_hyperborea_er_Laminaria_digitata_Pheophycees_dans_la_baie_de_Breidifjordur_Islande_Repartition_biomass_et_densite_distribution_d'age_croissance_et_production,"Langey, Breiðafjörður, Iceland",Laminaria hyperborea,Forest,0.559007476,Figure 69a,
Gunnarson 1991,researchgate.net/publication/341179594_Populations_de_Laminaria_hyperborea_er_Laminaria_digitata_Pheophycees_dans_la_baie_de_Breidifjordur_Islande_Repartition_biomass_et_densite_distribution_d'age_croissance_et_production,"Langey, Breiðafjörður, Iceland",Laminaria hyperborea,Forest,0.518777384,Figure 69a,
Gunnarson 1991,researchgate.net/publication/341179594_Populations_de_Laminaria_hyperborea_er_Laminaria_digitata_Pheophycees_dans_la_baie_de_Breidifjordur_Islande_Repartition_biomass_et_densite_distribution_d'age_croissance_et_production,"Langey, Breiðafjörður, Iceland",Laminaria hyperborea,Forest,0.519377986,Figure 69a,
Gunnarson 1991,researchgate.net/publication/341179594_Populations_de_Laminaria_hyperborea_er_Laminaria_digitata_Pheophycees_dans_la_baie_de_Breidifjordur_Islande_Repartition_biomass_et_densite_distribution_d'age_croissance_et_production,"Langey, Breiðafjörður, Iceland",Laminaria hyperborea,Forest,0.670844679,Figure 69a,
Gunnarson 1991,researchgate.net/publication/341179594_Populations_de_Laminaria_hyperborea_er_Laminaria_digitata_Pheophycees_dans_la_baie_de_Breidifjordur_Islande_Repartition_biomass_et_densite_distribution_d'age_croissance_et_production,"Oddbjarnarsker, Breiðafjörður, Iceland",Laminaria hyperborea,Forest,0.729901354,Figure 69a,
Gunnarson 1991,researchgate.net/publication/341179594_Populations_de_Laminaria_hyperborea_er_Laminaria_digitata_Pheophycees_dans_la_baie_de_Breidifjordur_Islande_Repartition_biomass_et_densite_distribution_d'age_croissance_et_production,"Oddbjarnarsker, Breiðafjörður, Iceland",Laminaria hyperborea,Forest,0.69912215,Figure 69a,
Gunnarson 1991,researchgate.net/publication/341179594_Populations_de_Laminaria_hyperborea_er_Laminaria_digitata_Pheophycees_dans_la_baie_de_Breidifjordur_Islande_Repartition_biomass_et_densite_distribution_d'age_croissance_et_production,"Oddbjarnarsker, Breiðafjörður, Iceland",Laminaria hyperborea,Forest,0.678233842,Figure 69a,
Gunnarson 1991,researchgate.net/publication/341179594_Populations_de_Laminaria_hyperborea_er_Laminaria_digitata_Pheophycees_dans_la_baie_de_Breidifjordur_Islande_Repartition_biomass_et_densite_distribution_d'age_croissance_et_production,"Oddbjarnarsker, Breiðafjörður, Iceland",Laminaria hyperborea,Forest,0.598462448,Figure 69a,
Gunnarson 1991,researchgate.net/publication/341179594_Populations_de_Laminaria_hyperborea_er_Laminaria_digitata_Pheophycees_dans_la_baie_de_Breidifjordur_Islande_Repartition_biomass_et_densite_distribution_d'age_croissance_et_production,"Oddbjarnarsker, Breiðafjörður, Iceland",Laminaria hyperborea,Forest,0.657948919,Figure 69a,
Gunnarson 1991,researchgate.net/publication/341179594_Populations_de_Laminaria_hyperborea_er_Laminaria_digitata_Pheophycees_dans_la_baie_de_Breidifjordur_Islande_Repartition_biomass_et_densite_distribution_d'age_croissance_et_production,"Oddbjarnarsker, Breiðafjörður, Iceland",Laminaria hyperborea,Forest,0.55961736,Figure 69a,
Gunnarson 1991,researchgate.net/publication/341179594_Populations_de_Laminaria_hyperborea_er_Laminaria_digitata_Pheophycees_dans_la_baie_de_Breidifjordur_Islande_Repartition_biomass_et_densite_distribution_d'age_croissance_et_production,"Fagurey, Breiðafjörður, Iceland",Laminaria digitata,Forest,0.800346681,Figure 69b,
Gunnarson 1991,researchgate.net/publication/341179594_Populations_de_Laminaria_hyperborea_er_Laminaria_digitata_Pheophycees_dans_la_baie_de_Breidifjordur_Islande_Repartition_biomass_et_densite_distribution_d'age_croissance_et_production,"Fagurey, Breiðafjörður, Iceland",Laminaria digitata,Forest,0.766259629,Figure 69b,
Gunnarson 1991,researchgate.net/publication/341179594_Populations_de_Laminaria_hyperborea_er_Laminaria_digitata_Pheophycees_dans_la_baie_de_Breidifjordur_Islande_Repartition_biomass_et_densite_distribution_d'age_croissance_et_production,"Fagurey, Breiðafjörður, Iceland",Laminaria digitata,Forest,0.711191434,Figure 69b,
Gunnarson 1991,researchgate.net/publication/341179594_Populations_de_Laminaria_hyperborea_er_Laminaria_digitata_Pheophycees_dans_la_baie_de_Breidifjordur_Islande_Repartition_biomass_et_densite_distribution_d'age_croissance_et_production,"Skarð, Breiðafjörður, Iceland",Laminaria digitata,Forest,0.710840926,Figure 69b,
Gunnarson 1991,researchgate.net/publication/341179594_Populations_de_Laminaria_hyperborea_er_Laminaria_digitata_Pheophycees_dans_la_baie_de_Breidifjordur_Islande_Repartition_biomass_et_densite_distribution_d'age_croissance_et_production,"Skarð, Breiðafjörður, Iceland",Laminaria digitata,Forest,0.85490886,Figure 69b,
Gunnarson 1991,researchgate.net/publication/341179594_Populations_de_Laminaria_hyperborea_er_Laminaria_digitata_Pheophycees_dans_la_baie_de_Breidifjordur_Islande_Repartition_biomass_et_densite_distribution_d'age_croissance_et_production,"Skarð, Breiðafjörður, Iceland",Laminaria digitata,Forest,0.748877535,Figure 69b,
Gunnarson 1991,researchgate.net/publication/341179594_Populations_de_Laminaria_hyperborea_er_Laminaria_digitata_Pheophycees_dans_la_baie_de_Breidifjordur_Islande_Repartition_biomass_et_densite_distribution_d'age_croissance_et_production,"Skarð, Breiðafjörður, Iceland",Laminaria digitata,Forest,0.505326484,Figure 69b,
Flores-Moya et al. 1993,10.1080/09670269300650331,"Tarifa, Spain",Phyllariopsis purpurascens,Lamina,8.7,Table 2,"calculated as sum of monthly P/B, assuming there is no production in October to March"
van Tussenbroek 1993,10.1080/09670269300650251,"Stanley Harbour, Falkland Islands",Macrocystis pyrifera,Lamina,6.372540984,Table 1,"annual production calculated as mean of May and December, so assumes these to be annual minimum and maximum"
Stuart 1997,hdl.handle.net/10523/9869,"Carey's Bay, Otago Harbour, Otago, New Zealand",Undaria pinnatifida,Lamina,6.794974195,Table 5,calculated as annual mean daily production * 365 d y^−1 / annual mean biomass
Fairhead 2001,hdl.handle.net/2440/21777,"Abalone Cove, West Island, South Australia, Australia",Ecklonia radiata,Forest,2.635532382,Table 6.1,calculated as 0.46 g dry mass plant^−1 d^−1 * 365 d y^−1 * 14.3 plants m^−2 (P) / 911 g dry mass m^−2 (B)
Fairhead 2001,hdl.handle.net/2440/21777,"Abalone Cove, West Island, South Australia, Australia",Ecklonia radiata,Forest,1.596448598,Table 6.1,calculated as 0.6 g dry mass plant^−1 d^−1 * 365 d y^−1 * 3.9 plants m^−2 (P) / 535 g dry mass m^−2 (B)
Borum et al. 2002,10.1007/s00227-002-0806-9,"Young Sound, King Christian X Land, Greenland",Saccharina latissima,Thallus,0.634920635,Figure 6a,new lamina method
Borum et al. 2002,10.1007/s00227-002-0806-9,"Young Sound, King Christian X Land, Greenland",Saccharina latissima,Thallus,0.567800454,Figure 6a,new lamina method
Borum et al. 2002,10.1007/s00227-002-0806-9,"Young Sound, King Christian X Land, Greenland",Saccharina latissima,Thallus,0.595011338,Figure 6a,new lamina method
Borum et al. 2002,10.1007/s00227-002-0806-9,"Young Sound, King Christian X Land, Greenland",Saccharina latissima,Thallus,0.580498866,Figure 6a,new lamina method
